SNR_Bob = 4 dB, SNR_Eve = 20 dB, phi = 0.2 | C_B1 = 24.31 Mbps | C_B2 = 13.93 Mbps | C_E = 25.16 Mbps | BER_B1 = 5.0730e-01 | BER_B2 = 5.0060e-01 | BER_E = 5.0200e-01 | R_s1 = 0.83 | R_s2 = 0.00 | SOP1 = 0.67 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 8.32e-08 | eta_s2 = 1.36e-11
SNR_Bob = 6 dB, SNR_Eve = 0 dB, phi = 0.2 | C_B1 = 35.70 Mbps | C_B2 = 19.09 Mbps | C_E = 30.84 Mbps | BER_B1 = 4.9990e-01 | BER_B2 = 5.0370e-01 | BER_E = 5.0670e-01 | R_s1 = 1.49 | R_s2 = 0.00 | SOP1 = 0.09 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.49e-07 | eta_s2 = 2.45e-11
SNR_Bob = 6 dB, SNR_Eve = 2 dB, phi = 0.2 | C_B1 = 35.66 Mbps | C_B2 = 19.03 Mbps | C_E = 30.83 Mbps | BER_B1 = 5.0860e-01 | BER_B2 = 5.0180e-01 | BER_E = 4.9720e-01 | R_s1 = 1.49 | R_s2 = 0.00 | SOP1 = 0.10 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.49e-07 | eta_s2 = 1.96e-11
SNR_Bob = 6 dB, SNR_Eve = 4 dB, phi = 0.2 | C_B1 = 35.58 Mbps | C_B2 = 18.99 Mbps | C_E = 30.85 Mbps | BER_B1 = 4.9960e-01 | BER_B2 = 5.0180e-01 | BER_E = 4.9350e-01 | R_s1 = 1.48 | R_s2 = 0.00 | SOP1 = 0.10 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.48e-07 | eta_s2 = 3.15e-11
SNR_Bob = 6 dB, SNR_Eve = 6 dB, phi = 0.2 | C_B1 = 35.40 Mbps | C_B2 = 19.01 Mbps | C_E = 30.80 Mbps | BER_B1 = 5.0190e-01 | BER_B2 = 5.0020e-01 | BER_E = 5.0020e-01 | R_s1 = 1.47 | R_s2 = 0.00 | SOP1 = 0.11 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.47e-07 | eta_s2 = 2.55e-11
SNR_Bob = 6 dB, SNR_Eve = 8 dB, phi = 0.2 | C_B1 = 35.24 Mbps | C_B2 = 19.01 Mbps | C_E = 30.81 Mbps | BER_B1 = 5.0480e-01 | BER_B2 = 5.0410e-01 | BER_E = 5.0490e-01 | R_s1 = 1.45 | R_s2 = 0.00 | SOP1 = 0.12 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.45e-07 | eta_s2 = 2.70e-11
SNR_Bob = 6 dB, SNR_Eve = 10 dB, phi = 0.2 | C_B1 = 34.97 Mbps | C_B2 = 19.02 Mbps | C_E = 30.80 Mbps | BER_B1 = 4.9830e-01 | BER_B2 = 4.9290e-01 | BER_E = 4.9500e-01 | R_s1 = 1.42 | R_s2 = 0.00 | SOP1 = 0.13 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.42e-07 | eta_s2 = 3.52e-11
SNR_Bob = 6 dB, SNR_Eve = 12 dB, phi = 0.2 | C_B1 = 34.44 Mbps | C_B2 = 18.95 Mbps | C_E = 30.84 Mbps | BER_B1 = 5.0280e-01 | BER_B2 = 4.9790e-01 | BER_E = 4.9000e-01 | R_s1 = 1.37 | R_s2 = 0.00 | SOP1 = 0.16 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.37e-07 | eta_s2 = 3.26e-11
SNR_Bob = 6 dB, SNR_Eve = 14 dB, phi = 0.2 | C_B1 = 33.75 Mbps | C_B2 = 18.88 Mbps | C_E = 30.80 Mbps | BER_B1 = 5.0370e-01 | BER_B2 = 4.9680e-01 | BER_E = 5.0140e-01 | R_s1 = 1.30 | R_s2 = 0.00 | SOP1 = 0.21 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.30e-07 | eta_s2 = 2.94e-11
SNR_Bob = 6 dB, SNR_Eve = 16 dB, phi = 0.2 | C_B1 = 32.63 Mbps | C_B2 = 18.70 Mbps | C_E = 30.83 Mbps | BER_B1 = 4.9910e-01 | BER_B2 = 5.0800e-01 | BER_E = 5.0120e-01 | R_s1 = 1.19 | R_s2 = 0.00 | SOP1 = 0.31 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.19e-07 | eta_s2 = 3.12e-11
