===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve =====
SNR_Bob = 4 dB, SNR_Eve = 6 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 32.95 Mbps | C_B2 = 8.18 Mbps | C_E = 16.24 Mbps | R_s1 = 1.67 | R_s2 = 0.00 | SOP1 = 0.05 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.67e-07 | eta_s2 = 2.32e-11
SNR_Bob = 4 dB, SNR_Eve = 8 dB | alpha1 = 0.3500, alpha2 = 0.3500, phi = 0.3000 | C_B1 = 32.69 Mbps | C_B2 = 8.17 Mbps | C_E = 16.24 Mbps | R_s1 = 1.65 | R_s2 = 0.00 | SOP1 = 0.05 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.65e-07 | eta_s2 = 2.25e-11
SNR_Bob = 4 dB, SNR_Eve = 10 dB | alpha1 = 0.3500, alpha2 = 0.3500, phi = 0.3000 | C_B1 = 32.30 Mbps | C_B2 = 8.15 Mbps | C_E = 16.25 Mbps | R_s1 = 1.61 | R_s2 = 0.00 | SOP1 = 0.07 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.61e-07 | eta_s2 = 2.49e-11
SNR_Bob = 4 dB, SNR_Eve = 12 dB | alpha1 = 0.3498, alpha2 = 0.3502, phi = 0.3000 | C_B1 = 31.73 Mbps | C_B2 = 8.13 Mbps | C_E = 16.24 Mbps | R_s1 = 1.55 | R_s2 = 0.00 | SOP1 = 0.08 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.55e-07 | eta_s2 = 1.98e-11
SNR_Bob = 4 dB, SNR_Eve = 14 dB | alpha1 = 0.3498, alpha2 = 0.3502, phi = 0.3000 | C_B1 = 30.85 Mbps | C_B2 = 8.09 Mbps | C_E = 16.25 Mbps | R_s1 = 1.46 | R_s2 = 0.00 | SOP1 = 0.12 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.46e-07 | eta_s2 = 1.77e-11
SNR_Bob = 4 dB, SNR_Eve = 16 dB | alpha1 = 0.3498, alpha2 = 0.3502, phi = 0.3000 | C_B1 = 29.59 Mbps | C_B2 = 8.02 Mbps | C_E = 16.23 Mbps | R_s1 = 1.34 | R_s2 = 0.00 | SOP1 = 0.20 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.34e-07 | eta_s2 = 1.71e-11
SNR_Bob = 4 dB, SNR_Eve = 18 dB | alpha1 = 0.3498, alpha2 = 0.3502, phi = 0.3000 | C_B1 = 27.85 Mbps | C_B2 = 7.92 Mbps | C_E = 16.24 Mbps | R_s1 = 1.16 | R_s2 = 0.00 | SOP1 = 0.34 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.16e-07 | eta_s2 = 1.47e-11
SNR_Bob = 4 dB, SNR_Eve = 20 dB | alpha1 = 0.3501, alpha2 = 0.3499, phi = 0.3000 | C_B1 = 25.61 Mbps | C_B2 = 7.77 Mbps | C_E = 16.25 Mbps | R_s1 = 0.94 | R_s2 = 0.00 | SOP1 = 0.56 | SOP2 = 1.00 | IP1 = 0.01 | IP2 = 1.00 | eta_s1 = 9.38e-08 | eta_s2 = 1.07e-11
SNR_Bob = 6 dB, SNR_Eve = 0 dB | alpha1 = 0.3499, alpha2 = 0.3501, phi = 0.3000 | C_B1 = 39.01 Mbps | C_B2 = 11.42 Mbps | C_E = 21.00 Mbps | R_s1 = 1.80 | R_s2 = 0.00 | SOP1 = 0.03 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.80e-07 | eta_s2 = 2.99e-11
SNR_Bob = 6 dB, SNR_Eve = 2 dB | alpha1 = 0.3495, alpha2 = 0.3505, phi = 0.3000 | C_B1 = 38.93 Mbps | C_B2 = 11.41 Mbps | C_E = 21.01 Mbps | R_s1 = 1.79 | R_s2 = 0.00 | SOP1 = 0.03 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.79e-07 | eta_s2 = 3.19e-11
SNR_Bob = 6 dB, SNR_Eve = 4 dB | alpha1 = 0.3498, alpha2 = 0.3502, phi = 0.3000 | C_B1 = 38.83 Mbps | C_B2 = 11.41 Mbps | C_E = 21.02 Mbps | R_s1 = 1.78 | R_s2 = 0.00 | SOP1 = 0.03 | SOP2 = 1.00 | IP1 = 0.00 | IP2 = 1.00 | eta_s1 = 1.78e-07 | eta_s2 = 2.28e-11
