
===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve (Eve chủ động gây nhiễu) =====
==== THÔNG SỐ HỆ THỐNG KỊCH BẢN 2 ====
Công suất truyền P_A: 1 W
Nhiễu nền N_0: 3.98e-17 W
Hệ số suy hao alpha: 3
Băng thông: 10.0 MHz
Khoảng cách: Bob1 = 50m, Bob2 = 100m, Eve = 70m
Phân bổ công suất: alpha1 = 0.111, alpha2 = 0.889 (tổng = 1.000)
Tỷ lệ lỗi SIC: epsilon = 0.001
============================

SNR_Bob = 4 dB, SNR_Eve = 2 dB | C_B1 = 3.21 Mbps | C_B2 = 3.27 Mbps | C_E = 7.38 Mbps | BER_B1 = 5.0140e-01 | BER_B2 = 5.0540e-01 | BER_E = 4.9460e-01 | R_s1 = 0.22 | R_s2 = 0.08 | SOP1 = 0.44 | SOP2 = 0.80 | IP1 = 0.26 | IP2 = 0.74
SNR_Bob = 4 dB, SNR_Eve = 4 dB | C_B1 = 3.27 Mbps | C_B2 = 3.30 Mbps | C_E = 7.57 Mbps | BER_B1 = 5.0620e-01 | BER_B2 = 5.0050e-01 | BER_E = 5.0080e-01 | R_s1 = 0.23 | R_s2 = 0.07 | SOP1 = 0.45 | SOP2 = 0.81 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 4 dB, SNR_Eve = 6 dB | C_B1 = 3.31 Mbps | C_B2 = 3.26 Mbps | C_E = 7.46 Mbps | BER_B1 = 4.9770e-01 | BER_B2 = 5.0150e-01 | BER_E = 5.0120e-01 | R_s1 = 0.23 | R_s2 = 0.07 | SOP1 = 0.44 | SOP2 = 0.81 | IP1 = 0.26 | IP2 = 0.75
SNR_Bob = 4 dB, SNR_Eve = 8 dB | C_B1 = 3.22 Mbps | C_B2 = 3.26 Mbps | C_E = 7.48 Mbps | BER_B1 = 5.1020e-01 | BER_B2 = 4.9960e-01 | BER_E = 5.0120e-01 | R_s1 = 0.22 | R_s2 = 0.07 | SOP1 = 0.44 | SOP2 = 0.81 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 4 dB, SNR_Eve = 10 dB | C_B1 = 3.27 Mbps | C_B2 = 3.28 Mbps | C_E = 7.51 Mbps | BER_B1 = 4.9250e-01 | BER_B2 = 4.9250e-01 | BER_E = 4.9530e-01 | R_s1 = 0.23 | R_s2 = 0.07 | SOP1 = 0.45 | SOP2 = 0.81 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 4 dB, SNR_Eve = 12 dB | C_B1 = 3.29 Mbps | C_B2 = 3.23 Mbps | C_E = 7.46 Mbps | BER_B1 = 5.0320e-01 | BER_B2 = 4.9320e-01 | BER_E = 5.0130e-01 | R_s1 = 0.23 | R_s2 = 0.07 | SOP1 = 0.44 | SOP2 = 0.81 | IP1 = 0.26 | IP2 = 0.74
SNR_Bob = 4 dB, SNR_Eve = 14 dB | C_B1 = 3.30 Mbps | C_B2 = 3.25 Mbps | C_E = 7.44 Mbps | BER_B1 = 5.0290e-01 | BER_B2 = 4.9560e-01 | BER_E = 4.9620e-01 | R_s1 = 0.23 | R_s2 = 0.07 | SOP1 = 0.44 | SOP2 = 0.81 | IP1 = 0.26 | IP2 = 0.74
SNR_Bob = 4 dB, SNR_Eve = 16 dB | C_B1 = 3.26 Mbps | C_B2 = 3.28 Mbps | C_E = 7.46 Mbps | BER_B1 = 4.9950e-01 | BER_B2 = 4.9430e-01 | BER_E = 5.0580e-01 | R_s1 = 0.22 | R_s2 = 0.08 | SOP1 = 0.44 | SOP2 = 0.80 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 4 dB, SNR_Eve = 18 dB | C_B1 = 3.21 Mbps | C_B2 = 3.28 Mbps | C_E = 7.53 Mbps | BER_B1 = 5.0330e-01 | BER_B2 = 5.0770e-01 | BER_E = 4.9710e-01 | R_s1 = 0.22 | R_s2 = 0.07 | SOP1 = 0.46 | SOP2 = 0.81 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 4 dB, SNR_Eve = 20 dB | C_B1 = 3.19 Mbps | C_B2 = 3.24 Mbps | C_E = 7.46 Mbps | BER_B1 = 5.0660e-01 | BER_B2 = 4.9390e-01 | BER_E = 4.8970e-01 | R_s1 = 0.22 | R_s2 = 0.07 | SOP1 = 0.45 | SOP2 = 0.82 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 6 dB, SNR_Eve = 0 dB | C_B1 = 4.75 Mbps | C_B2 = 4.77 Mbps | C_E = 10.18 Mbps | BER_B1 = 4.9590e-01 | BER_B2 = 4.9910e-01 | BER_E = 4.9750e-01 | R_s1 = 0.32 | R_s2 = 0.10 | SOP1 = 0.38 | SOP2 = 0.80 | IP1 = 0.26 | IP2 = 0.75
SNR_Bob = 6 dB, SNR_Eve = 2 dB | C_B1 = 4.73 Mbps | C_B2 = 4.75 Mbps | C_E = 10.31 Mbps | BER_B1 = 5.0110e-01 | BER_B2 = 5.0030e-01 | BER_E = 4.9580e-01 | R_s1 = 0.32 | R_s2 = 0.10 | SOP1 = 0.39 | SOP2 = 0.80 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 6 dB, SNR_Eve = 4 dB | C_B1 = 4.72 Mbps | C_B2 = 4.72 Mbps | C_E = 10.20 Mbps | BER_B1 = 4.9980e-01 | BER_B2 = 5.0110e-01 | BER_E = 4.9320e-01 | R_s1 = 0.32 | R_s2 = 0.10 | SOP1 = 0.39 | SOP2 = 0.80 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 6 dB, SNR_Eve = 6 dB | C_B1 = 4.71 Mbps | C_B2 = 4.76 Mbps | C_E = 10.20 Mbps | BER_B1 = 4.9930e-01 | BER_B2 = 4.9410e-01 | BER_E = 5.0920e-01 | R_s1 = 0.32 | R_s2 = 0.10 | SOP1 = 0.40 | SOP2 = 0.80 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 6 dB, SNR_Eve = 8 dB | C_B1 = 4.68 Mbps | C_B2 = 4.71 Mbps | C_E = 10.29 Mbps | BER_B1 = 4.9900e-01 | BER_B2 = 4.9970e-01 | BER_E = 4.9660e-01 | R_s1 = 0.31 | R_s2 = 0.10 | SOP1 = 0.40 | SOP2 = 0.80 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 6 dB, SNR_Eve = 10 dB | C_B1 = 4.75 Mbps | C_B2 = 4.70 Mbps | C_E = 10.18 Mbps | BER_B1 = 4.9660e-01 | BER_B2 = 4.9710e-01 | BER_E = 4.9940e-01 | R_s1 = 0.32 | R_s2 = 0.10 | SOP1 = 0.39 | SOP2 = 0.79 | IP1 = 0.27 | IP2 = 0.74
SNR_Bob = 6 dB, SNR_Eve = 12 dB | C_B1 = 4.75 Mbps | C_B2 = 4.76 Mbps | C_E = 10.06 Mbps | BER_B1 = 5.0340e-01 | BER_B2 = 4.9260e-01 | BER_E = 5.1040e-01 | R_s1 = 0.32 | R_s2 = 0.10 | SOP1 = 0.38 | SOP2 = 0.79 | IP1 = 0.26 | IP2 = 0.74
SNR_Bob = 6 dB, SNR_Eve = 14 dB | C_B1 = 4.73 Mbps | C_B2 = 4.72 Mbps | C_E = 10.28 Mbps | BER_B1 = 4.8430e-01 | BER_B2 = 4.9770e-01 | BER_E = 5.0320e-01 | R_s1 = 0.32 | R_s2 = 0.10 | SOP1 = 0.39 | SOP2 = 0.80 | IP1 = 0.26 | IP2 = 0.75
SNR_Bob = 6 dB, SNR_Eve = 16 dB | C_B1 = 4.74 Mbps | C_B2 = 4.70 Mbps | C_E = 10.20 Mbps | BER_B1 = 4.8980e-01 | BER_B2 = 5.0480e-01 | BER_E = 4.9870e-01 | R_s1 = 0.32 | R_s2 = 0.10 | SOP1 = 0.39 | SOP2 = 0.80 | IP1 = 0.27 | IP2 = 0.75
SNR_Bob = 6 dB, SNR_Eve = 18 dB | C_B1 = 4.60 Mbps | C_B2 = 4.74 Mbps | C_E = 10.24 Mbps | BER_B1 = 4.9770e-01 | BER_B2 = 5.1240e-01 | BER_E = 4.9510e-01 | R_s1 = 0.31 | R_s2 = 0.10 | SOP1 = 0.40 | SOP2 = 0.80 | IP1 = 0.28 | IP2 = 0.75
SNR_Bob = 6 dB, SNR_Eve = 20 dB | C_B1 = 4.58 Mbps | C_B2 = 4.77 Mbps | C_E = 10.23 Mbps | BER_B1 = 5.0650e-01 | BER_B2 = 4.9730e-01 | BER_E = 5.0340e-01 | R_s1 = 0.30 | R_s2 = 0.10 | SOP1 = 0.40 | SOP2 = 0.80 | IP1 = 0.28 | IP2 = 0.75
