
===== KỊCH BẢN 2: Multi-user NOMA, quét SNR_Eve (Eve chủ động gây nhiễu) =====
==== THÔNG SỐ HỆ THỐNG KỊCH BẢN 2 ====
Công suất truyền P_A: 1 W
Nhiễu nền N_0: 1.00e-15 W
Hệ số suy hao alpha: 3
Băng thông: 10.0 MHz
Số anten: 16
Khoảng cách: Bob1 = 50m, Bob2 = 100m, Eve = 70m
Phân bổ công suất: alpha1 = 0.300, alpha2 = 0.700 (tổng = 1.000)
Tỷ lệ lỗi SIC: epsilon = 0.01
============================

SNR_Bob = 6 dB, SNR_Eve = 4 dB | C_B1 = 37.79 Mbps | C_B2 = 26.80 Mbps | C_E = 40.66 Mbps | BER_B1 = 5.0330e-01 | BER_B2 = 5.0080e-01 | BER_E = 4.9990e-01 | R_s1 = 0.83 | R_s2 = 0.00 | SOP1 = 0.67 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 8.25e-08 | eta_s2 = 2.11e-11
SNR_Bob = 6 dB, SNR_Eve = 6 dB | C_B1 = 37.71 Mbps | C_B2 = 26.81 Mbps | C_E = 40.66 Mbps | BER_B1 = 4.9900e-01 | BER_B2 = 4.9760e-01 | BER_E = 4.9540e-01 | R_s1 = 0.82 | R_s2 = 0.00 | SOP1 = 0.68 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 8.16e-08 | eta_s2 = 2.37e-11
SNR_Bob = 6 dB, SNR_Eve = 8 dB | C_B1 = 37.60 Mbps | C_B2 = 26.80 Mbps | C_E = 40.67 Mbps | BER_B1 = 4.9530e-01 | BER_B2 = 4.9980e-01 | BER_E = 4.9510e-01 | R_s1 = 0.80 | R_s2 = 0.00 | SOP1 = 0.69 | SOP2 = 1.00 | IP1 = 0.02 | IP2 = 1.00 | eta_s1 = 8.05e-08 | eta_s2 = 1.91e-11
SNR_Bob = 6 dB, SNR_Eve = 10 dB | C_B1 = 37.41 Mbps | C_B2 = 26.81 Mbps | C_E = 40.70 Mbps | BER_B1 = 5.0530e-01 | BER_B2 = 4.9990e-01 | BER_E = 4.9430e-01 | R_s1 = 0.78 | R_s2 = 0.00 | SOP1 = 0.71 | SOP2 = 1.00 | IP1 = 0.03 | IP2 = 1.00 | eta_s1 = 7.84e-08 | eta_s2 = 2.25e-11
SNR_Bob = 6 dB, SNR_Eve = 12 dB | C_B1 = 37.14 Mbps | C_B2 = 26.80 Mbps | C_E = 40.70 Mbps | BER_B1 = 5.0530e-01 | BER_B2 = 5.0080e-01 | BER_E = 5.0450e-01 | R_s1 = 0.76 | R_s2 = 0.00 | SOP1 = 0.73 | SOP2 = 1.00 | IP1 = 0.03 | IP2 = 1.00 | eta_s1 = 7.57e-08 | eta_s2 = 2.96e-11
SNR_Bob = 6 dB, SNR_Eve = 14 dB | C_B1 = 36.70 Mbps | C_B2 = 26.75 Mbps | C_E = 40.64 Mbps | BER_B1 = 5.0250e-01 | BER_B2 = 5.0610e-01 | BER_E = 5.1330e-01 | R_s1 = 0.72 | R_s2 = 0.00 | SOP1 = 0.76 | SOP2 = 1.00 | IP1 = 0.04 | IP2 = 1.00 | eta_s1 = 7.20e-08 | eta_s2 = 3.77e-11
SNR_Bob = 6 dB, SNR_Eve = 16 dB | C_B1 = 36.10 Mbps | C_B2 = 26.75 Mbps | C_E = 40.68 Mbps | BER_B1 = 4.9940e-01 | BER_B2 = 5.0110e-01 | BER_E = 4.9770e-01 | R_s1 = 0.66 | R_s2 = 0.00 | SOP1 = 0.81 | SOP2 = 1.00 | IP1 = 0.05 | IP2 = 1.00 | eta_s1 = 6.59e-08 | eta_s2 = 2.10e-11
SNR_Bob = 6 dB, SNR_Eve = 18 dB | C_B1 = 35.13 Mbps | C_B2 = 26.67 Mbps | C_E = 40.73 Mbps | BER_B1 = 5.0560e-01 | BER_B2 = 4.9800e-01 | BER_E = 4.9750e-01 | R_s1 = 0.57 | R_s2 = 0.00 | SOP1 = 0.87 | SOP2 = 1.00 | IP1 = 0.09 | IP2 = 1.00 | eta_s1 = 5.66e-08 | eta_s2 = 2.69e-11
SNR_Bob = 6 dB, SNR_Eve = 20 dB | C_B1 = 33.72 Mbps | C_B2 = 26.63 Mbps | C_E = 40.65 Mbps | BER_B1 = 4.9850e-01 | BER_B2 = 5.0690e-01 | BER_E = 5.0240e-01 | R_s1 = 0.45 | R_s2 = 0.00 | SOP1 = 0.92 | SOP2 = 1.00 | IP1 = 0.16 | IP2 = 1.00 | eta_s1 = 4.51e-08 | eta_s2 = 2.39e-11
SNR_Bob = 8 dB, SNR_Eve = 0 dB | C_B1 = 41.89 Mbps | C_B2 = 32.61 Mbps | C_E = 47.02 Mbps | BER_B1 = 4.9810e-01 | BER_B2 = 4.9880e-01 | BER_E = 4.9980e-01 | R_s1 = 0.64 | R_s2 = 0.00 | SOP1 = 0.83 | SOP2 = 1.00 | IP1 = 0.05 | IP2 = 1.00 | eta_s1 = 6.43e-08 | eta_s2 = 2.34e-11
